2024-08-05 08:20:23,067; INFO; b0; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S1_S0_S0 -> S0_S0_S0_S0_S0]
2024-08-05 08:20:23,068; INFO; a1; [supR0EsteiraSensor: S1_S0_S0 -> S0_S1_S0]
2024-08-05 08:20:23,068; INFO; a1; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:23,068; INFO; a1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S0_S0_S0 -> S4_S1_S0_S0]
2024-08-05 08:20:23,068; INFO; a1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S0_S0_S0_S0 -> S0_S1_S0_S0_S0]
2024-08-05 08:20:23,072; INFO; a3; [supR3Mesa_GiratoriaTeste: S0_S0_S0 -> S1_S0_S1]
2024-08-05 08:20:23,073; INFO; a3; [supR6Mesa_GiratoriaFuradeiraTeste: S2_S0_S0_S0 -> S4_S0_S0_S1]
2024-08-05 08:20:23,073; INFO; a3; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S0_S0 -> S6_S0_S1_S0]
2024-08-05 08:20:23,073; INFO; a3; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S0_S0 -> S0_S1_S0_S0_S1]
2024-08-05 08:20:23,685; INFO; b3; [supR3Mesa_GiratoriaTeste: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:23,685; INFO; b3; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S0_S1 -> S4_S0_S0_S0]
2024-08-05 08:20:23,686; INFO; b3; [supR7Mesa_GiratoriaTesteRobo: S6_S0_S1_S0 -> S7_S0_S0_S0]
2024-08-05 08:20:23,686; INFO; b3; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S0_S1_S0_S0_S1 -> S1_S1_S0_S0_S0]
2024-08-05 08:20:24,578; INFO; b1; [supR0EsteiraSensor: S0_S1_S0 -> S0_S0_S0]
2024-08-05 08:20:24,578; INFO; b1; [supEsteiraMesa_GiratoriaR1: S1_S0_S1 -> S0_S0_S0]
2024-08-05 08:20:24,578; INFO; b1; [supR5EsteiraMesa_GiratoriaFuradeira: S4_S1_S0_S0 -> S5_S0_S0_S0]
2024-08-05 08:20:24,579; INFO; b1; [supR8EsteiraMesa_GiratoriaFuradeiraTeste: S1_S1_S0_S0_S0 -> S1_S0_S0_S0_S0]
2024-08-05 08:20:24,579; INFO; a0; [supEsteiraMesa_GiratoriaR1: S0_S0_S0 -> S0_S1_S1]
2024-08-05 08:20:24,579; INFO; a0; [supR2Mesa_GiratoriaFuradeira: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:24,580; INFO; a0; [supR3Mesa_GiratoriaTeste: S0_S0_S0 -> S1_S1_S0]
2024-08-05 08:20:24,580; INFO; a0; [supR4Mesa_GiratoriaRobo: S5_S0_S0 -> S4_S1_S0]
2024-08-05 08:20:24,580; INFO; a0; [supR5EsteiraMesa_GiratoriaFuradeira: S5_S0_S0_S0 -> S2_S0_S1_S0]
2024-08-05 08:20:24,580; INFO; a0; [supR6Mesa_GiratoriaFuradeiraTeste: S4_S0_S0_S0 -> S4_S1_S0_S0]
2024-08-05 08:20:24,581; INFO; a0; [supR7Mesa_GiratoriaTesteRobo: S7_S0_S0_S0 -> S1_S1_S0_S0]
